knjiga,oseba
11,4
386162,4
9359913,4
437143,7
545294,16
11066857,49
234225,58
39776179,58
14354,63
33574273,106
271276,173
8578995,205
10374117,214
6495605,306
536,316
19438058,401
9469037,432
18144590,566
4906099,569
6066095,569
40698,585
231813,585
8132407,585
8045789,589
929,614
85266,630
8125623,630
16173514,704
40873273,713
8150911,721
170453,811
6563622,815
226722,861
3401521,879
26132,903
34068470,903
1432,947
12941,947
265016,947
577537,947
9200938,947
12995406,947
3437,1050
20494944,1055
11106714,1194
8117586,1235
16064673,1240
18008756,1240
19374,1244
11323701,1244
84979,1265
398199,1265
2600408,1265
16058947,1265
46020761,1315
11055140,1438
46167,1455
46168,1455
386299,1455
6599421,1455
19075,1461
46181,1467
929618,1467
402777,1624
4381,1630
1950540,1630
17470674,1630
11865807,1654
8694005,1730
3766,1742
22024583,1825
6192934,1831
32814,1838
833671,1873
10201688,1881
40940121,1949
449908,1954
76847,1973
11153628,2007
76817,2041
206657,2041
106192,2238
6910629,2330
175343,2331
578517,2331
7031288,2345
7150991,2345
33648131,2345
35545737,2345
8442457,2383
9961,2408
682765,2448
892295,2448
18626857,2448
8309278,2493
10081966,2493
304306,2526
10931946,2530
36236124,2546
4584,2617
36687263,2617
15749201,2715
437149,2751
17204679,2782
482978,2849
233858,2894
4262,2929
3168524,3049
4472,3075
348428,3075
16095003,3075
4486,3090
4610,3167
6519719,3190
15803417,3242
705209,3299
117837,3345
376609,3347
284066,3354
3421809,3354
6186452,3354
4944,3362
11569,3389
18342,3389
85424,3389
233681,3389
5864120,3389
6324651,3389
6360296,3389
9917996,3389
12530184,3389
28253070,3389
618241,3441
8545079,3447
974154,3472
22044026,3487
227589,3489
603241,3496
5081331,3503
10863144,3505
35120530,3505
5025780,3534
863334,3535
10803076,3535
828697,3539
5213,3540
6277770,3541
11060744,3565
15845322,3565
5292557,3617
5293561,3617
6522033,3617
10074,3618
70947,3618
70949,3618
41637836,3618
170448,3706
40961427,3706
5507,3720
552886,3780
18073799,3843
25716554,3873
23539,3961
403459,3961
231584,4030
18882869,4116
6496926,4178
8889448,4178
507157,4191
17157434,4260
109059,4273
170668,4273
232187,4273
232188,4273
22027266,4273
274186,4280
6572790,4280
75786,4339
395040,4379
19542,4489
73716,4694
7220,4711
36402034,4764
7131,4785
10916717,4785
11539004,4952
41044096,4999
331692,5117
52277,5132
10545,5144
77233,5144
15806216,5144
18133,5152
7677,5194
49563,5223
59186,5223
7747,5237
563002,5246
8219,5300
763588,5350
41817486,5735
9030,5869
30236962,5918
36145593,6125
37819,6134
8153988,6252
3853137,6343
38044,6417
8120401,6492
685689,6569
18517,6765
46132,6765
10365,6810
441267,6810
77247,6900
35341859,6942
17238,6988
92141,7025
2188936,7128
6397201,7128
42647,7130
1754286,7195
11220,7285
12782014,7380
607274,7385
9584862,7508
35485895,7565
386376,7577
2924362,7577
12147,7717
653945,7751
6193937,7799
9475810,7902
376612,8002
6490587,8051
84962,8120
298247,8120
4971790,8164
311502,8349
1339888,8349
3093681,8349
70897,8719
8466224,8842
17728412,9057
888628,9226
16005,9876
5292465,9987
39280444,10003
17792189,10264
6699003,10896
36576608,11072
5088205,11081
35031085,11139
111620,11315
8120173,11466
7827749,11679
9440817,12455
9525672,12521
6485609,12605
607412,12696
6329013,12793
47440429,12898
304996,12942
370523,13450
3438113,13450
24284,13661
5948933,13661
607014,13677
15802147,13778
6586540,13957
170436,15151
72029,15619
44187,15872
1581365,15872
4556058,15872
7624272,15872
8130423,15872
11550149,15872
13613374,15872
17701166,15872
46025094,15872
292110,15873
16692883,15905
168661,16201
5140074,16218
5996629,16667
5996632,16667
275984,16904
6280121,17015
6567023,17015
8118139,17015
8118140,17015
4602032,17061
198167,17434
32085,18062
232381,18479
11013027,18540
9413297,18907
5598223,20248
6357135,20248
410428,22665
17306020,23510
31685789,23613
8646215,24556
654169,24824
15845364,26242
8889380,30913
20603758,31712
664162,34933
6547258,38550
9188338,38550
2896,39402
24682,61105
191128,61105
795921,61105
1786535,61105
18686935,61105
6146933,69007
623401,81466
1349956,83846
120482,86404
17339177,102203
32800812,104728
9531737,108424
20562717,108424
853510,123715
6251563,123715
155,128382
15823480,128382
345627,137902
7542624,137902
7549331,137902
7607518,137902
9477490,137902
9480548,137902
11201920,137902
6131164,150038
7541858,150038
8719634,150038
8855387,150038
11293952,150038
12686642,150038
18629142,150038
8423493,153394
8684868,153394
11301989,153394
18626858,153394
7876209,194531
6585977,200317
2619,239579
2623,239579
6239806,239579
9847899,239579
10080974,239579
18172068,239579
17347634,281810
1095059,285217
11776950,286014
11961790,286014
15709778,286014
6990472,295178
10763598,324620
6307964,346732
6421982,346732
6584437,346732
18626828,346732
18626829,346732
8044584,348878
359079,410653
17264061,426944
9889,431149
5096865,431149
30136,435477
240007,435477
14050,498072
19010711,534082
29844228,569269
26028666,608211
30236985,626222
18509,656983
13510444,656983
13513038,656983
15708993,656983
38819529,656983
6599342,706255
8115818,706255
8300755,706255
176108,762707
7178,819789
77531,819789
297,854076
15848107,854076
17401120,880695
17152,881203
169205,941441
2685814,941441
5043803,941441
8316723,941441
15688,957894
770754,957894
24916066,988142
70720,1020792
50165,1036615
11129,1069006
11149,1069006
18132,1069006
317500,1069006
509797,1069006
587318,1069006
3940508,1077326
28137887,1077326
28139880,1077326
28141183,1077326
28143118,1077326
28143415,1077326
28787664,1077326
29411529,1077326
42844155,1077326
444555,1113469
528762,1113469
9396456,1113469
39832183,1194527
5577844,1221698
6479879,1221698
6746355,1221698
30165203,1221698
77470,1262010
40495148,1285555
12359568,1304470
7203676,1330292
44451908,1353301
10053149,1373880
3263868,1388082
2914097,1406384
6567453,1406384
12970552,1406384
592951,1433597
18619999,1943477
12873,2001717
482976,2327917
57854,2622245
168646,2778055
386411,2778055
525878,2778055
7136307,2876763
8900616,2876763
15833451,2893961
17280346,2895706
7833099,2905297
9410255,2905297
7686667,2936493
13101912,2987125
15844362,2987125
22818666,2995873
21523063,3012988
10428902,3046613
17453983,3095893
4937,3137322
7138,3137322
12854,3137322
17315727,3377941
16034235,3433047
18846563,3433047
26073150,3433047
3835,4037220
8306857,4039811
10616322,4039811
13068756,4039811
15795357,4208569
17286849,4208569
15753977,4342215
13330943,4370565
21160173,4390174
15749887,4464118
22084431,4476934
22294935,4575289
132314,4624490
509929,4624490
13455782,4637539
36381037,4684322
19179,4699102
12881778,4725841
18626824,4725841
24731740,4725841
40605251,4841825
11387515,4859212
3458106,4917067
6655,5031312
306150,5031312
75303,5158478
290131,5255014
17156082,5430144
120451,5754446
891694,6039100
39945240,6466154
6794,6538289
18401393,6540057
4906348,7136914
40874325,15481463
40938263,18235662
