id,naslov,dolzina,leto,leto_original,score,glasovi,avgrating,ratings,reviews
11,The Hitchhiker's Guide to the Galaxy,193,2007,1979,424228,2622,4.22,1275619,26678
155,Anna Karenina,964,2012,1877,120336,1332,4.04,603810,21580
297,Treasure Island,311,2001,1882,73628,996,3.83,365648,10164
536,The Lovely Bones,372,2006,2002,501537,5413,3.8,1869185,39109
929,Memoirs of a Geisha,434,2005,1997,842308,8781,4.1,1599484,28219
1432,Hamlet,289,2005,1603,20711,264,4.02,666646,11331
2619,Great Expectations,505,1998,1861,144014,1652,3.77,599846,14671
2623,Great Expectations,512,2002,1861,217926,2529,3.77,599861,14671
2896,Perfume: The Story of a Murderer,263,1987,1985,109934,1257,4.02,284054,12797
3437,The Curious Incident of the Dog in the Night-Time,226,2004,2003,132801,1527,3.87,1088895,41456
3766,On the Road,307,1976,1957,138545,1569,3.63,318792,13878
3835,Don Quixote,1023,2003,1605,242742,2768,3.87,187882,7070
4262,High Fidelity,340,2005,1995,23036,284,3.94,164499,5355
4381,Fahrenheit 451,227,2013,1953,246878,2659,3.98,1475732,42281
4472,A Prayer for Owen Meany,637,1990,1989,202951,2232,4.23,274076,12990
4486,Bridget Jones's Diary,288,1999,1996,35149,483,3.77,843103,9172
4584,Everything Is Illuminated,276,2003,2002,20454,250,3.9,158339,7576
4610,Catch-22,453,2004,1961,396130,4322,3.98,676394,16724
4937,The Brothers Karamazov,796,2002,1879,288429,3191,4.32,218192,9606
4944,The Very Hungry Caterpillar,26,1994,1969,133869,1562,4.29,358232,7250
5213,White Oleander,446,2001,1999,47214,588,3.96,306533,6937
5507,The Diary of a Young Girl,283,1993,1947,39581,518,4.13,2473878,25894
6655,The Divine Comedy,798,1995,1320,110397,1309,4.07,103924,3399
6794,Cloud Atlas,509,2004,2004,26174,315,4.02,199589,18526
7131,The Count of Monte Cristo,1276,2003,1844,111212,1281,4.24,693868,19171
7138,Crime and Punishment,671,2002,1866,723159,7565,4.21,555200,16343
7178,The Catcher in the Rye,277,2001,1951,567813,6160,3.8,2488974,52537
7220,The Secret Life of Bees,302,2003,2001,177019,2023,4.04,1052831,28925
7677,Jurassic Park,399,1991,1990,61379,772,4.01,747594,10973
7747,Fear and Loathing in Las Vegas,204,1998,1972,50555,610,4.08,279173,5867
8219,The Little House Collection,2700,2003,1943,112228,1327,4.34,136843,2112
9030,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",447,2003,2003,21345,278,3.99,460371,30431
9889,Breakfast at Tiffany's,142,1993,1958,26523,374,3.89,197371,9512
9961,Atonement,351,2003,2001,94669,1135,3.89,410930,16331
10074,His Dark Materials,1088,2003,2000,64925,757,4.25,131984,4852
10365,Where the Red Fern Grows,212,1996,1961,90006,1044,4.07,316189,10354
10545,Ulysses,783,1990,1922,74359,886,3.73,102180,6131
11129,The Chronicles of Narnia,767,2002,1956,1193015,12480,4.26,466488,9702
11149,The Screwtape Letters,223,2013,1942,56212,693,4.22,299517,10514
11220,One Flew Over the Cuckoo's Nest,325,1963,1962,340466,3858,4.19,585753,9804
11569,Different Seasons,560,1995,1982,40951,554,4.35,160779,4011
12147,Watership Down,478,1975,1972,363550,3975,4.05,400253,12579
12854,The Idiot,667,2003,1869,45662,584,4.18,114997,4408
12873,Rebecca,449,2013,1938,317578,3567,4.22,402080,20243
12941,King Lear,316,2004,1606,44816,615,3.9,166559,3991
14050,The Time Traveler's Wife,500,2013,2003,655074,6847,3.96,1470095,45947
14354,The Power of One,544,1996,1989,34827,399,4.35,72246,4992
15688,The Stranger,123,1989,1942,148780,1707,3.97,616038,19905
16005,Paradise Lost,453,2003,1667,42131,571,3.81,120744,3305
17152,My Ántonia,232,2000,1918,28114,383,3.78,113686,6869
17238,Dracula,488,1986,1897,619192,6696,3.99,841103,22252
18132,The Voyage of the Dawn Treader,248,2006,1952,20369,293,4.09,368962,5933
18133,Lolita,331,1995,1955,447623,4821,3.89,607496,22190
18342,It,1116,1987,1986,108478,1263,4.23,700824,22040
18509,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1728,2012,1955,1091330,11416,4.59,103621,1694
18517,To the Lighthouse,209,1989,1927,19507,265,3.77,117083,6420
