knjiga,nagrada
11,
155,PEN Translation Prize for Richard Pevear &amp; Larissa Volokhonsky (2002)
297,Odyssey Award Nominee (2008)
297,Prêmio Jabuti Nominee for Adaptação (2017)
297,Audie Award for Classic (2008)
536,Missouri Gateway Readers Award (2005)
536,Book Sense Book of the Year Award for Adult Fiction (2003)
536,Orange Prize Nominee for Fiction Longlist (2003)
536,Bram Stoker Award for Best First Novel (2002)
536,British Book Award for Best Read of the Year (2004)
536,Iowa High School Book Award (2005)
536,California Book Award for First Fiction (Silver) (2002)
536,Chicago Tribune Heartland Prize for Fiction (2002)
536,Puddly Award for Fiction (2003)
536,Eliot Rosewater Indiana High School Book Award (2005)
536,South Carolina Book Award for Young Adult Book Award (2005)
536,Lincoln Award Nominee (2005)
929,
1432,Grammy Award Nominee for Best Spoken Word Album (2012)
2619,Премія імені Максима Рильського (1993)
2619,Audie Award for Classic (2010)
2623,Премія імені Максима Рильського (1993)
2623,Audie Award for Classic (2010)
2896,World Fantasy Award for Best Novel (1987)
2896,PEN Translation Prize for John E. Woods (1987)
3437,Booker Prize Nominee for Longlist (2003)
3437,Exclusive Books Boeke Prize (2004)
3437,Zilveren Zoen (2004)
3437,ALA Alex Award (2004)
3437,Dolly Gray Children's Literature Award (2004)
3437,Commonwealth Writers' Prize for Best First Book Overall (2004)
3437,Whitbread Award for Novel and Book of the Year (2003)
3437,Lincoln Award Nominee (2006)
3437,James Tait Black Memorial Prize Nominee for Fiction (2003)
3437,North East Teenage Book Award Nominee (2004)
3437,Carnegie Medal Nominee (2003)
3437,McKitterick Prize (2004)
3437,Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003)
3437,Guardian Children's Fiction Prize (2003)
3766,Grammy Award Nominee for Best Spoken Word Album (2001)
3835,Premio de traducción literaria Valle Inclán for John Rutherford (2002)
3835,Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία (2010)
3835,Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium &amp; Best Humor Publication (2014)
4262,
